Group,Genus,Individual,Scientific name,Common name,AGEmax,DBHmax,Hmax,s,g,bulk,D_L,L_C,DEGDmin,DEGDoptimum,DEGDmax,l,d,f,n,fire,stress,old,evergreen,invader,seed,sprout,NDE,NDS,Species_code
17,Quercus',14,Quercus_michauxii',Swamp_chestnut_oak',350,183,30,0.31,3.000,0.60,0.15,0.316,2263,3878,5493,3,3,1,2,1,1,1,0,0.01,10,1,0.10,0.31,QUERmich
17,Quercus',15,Quercus_muehlenbergii',Chinkapin_oak',300,91,24,0.50,3.000,0.60,0.15,0.316,2030,3634,5238,4,2,5,2,1,1,1,0,0.01,10,1,0.10,0.31,QUERmueh
17,Quercus',16,Quercus_nigra',Water_oak',200,91,30,0.63,3.000,0.56,0.15,0.316,3052,4558,6064,3,3,1,2,1,1,1,0,0.1,10,1,0.10,0.31,QUERnigr
17,Quercus',17,Quercus_palustris',Pin_oak',150,91,30,0.63,3.000,0.58,0.15,0.316,2030,3634,5238,4,3,1,2,1,1,1,0,0.1,10,1,0.10,0.31,QUERpalu
17,Quercus',18,Quercus_phellos',Willow_oak',300,122,37,0.58,3.000,0.56,0.15,0.316,2263,3878,5493,3,3,1,2,1,1,1,0,0.1,10,1,0.10,0.31,QUERphel
17,Quercus',19,Quercus_shumardii',Shumard_oak',400,183,37,0.39,3.000,0.59,0.15,0.316,2263,3878,5493,3,2,2,2,1,1,1,0,0.1,10,1,0.10,0.31,QUERshum
17,Quercus',20,Quercus_virginiana',Live_oak',300,183,24,0.30,1.000,0.74,0.15,0.5,3634,5238,6842,2,1,2,1,1,1,1,1,0.01,10,1,0.10,0.31,QUERvirg
17,Quercus',21,Quercus_agrifolia',Coast_live_oak',250,152,24,0.30,3.000,0.60,0.15,0.5,2263,3878,5493,3,1,5,1,1,1,1,1,0.01,10,1,0.10,0.31,QUERagri
17,Quercus',22,Quercus_chrysolepis',Canyon_live_oak',300,152,24,0.30,3.000,0.68,0.15,0.5,1630,2546,3461,2,1,5,1,1,1,1,1,0.01,10,1,0.10,0.31,QUERchry
17,Quercus',23,Quercus_douglasii',Blue_oak',400,91,18,0.37,3.000,0.62,0.15,0.316,2030,3161,4291,5,1,6,1,1,1,1,0,0.01,10,1,0.10,0.31,QUERdoug
17,Quercus',24,Quercus_garryana',Oregon_white_oak',500,122,24,0.37,3.000,0.62,0.15,0.316,1323,2546,3769,3,1,5,1,1,1,1,0,0.01,10,1,0.10,0.31,QUERgarr
17,Quercus',25,Quercus_kelloggii',California_black_oak',300,152,37,0.47,3.000,0.51,0.15,0.316,1630,2546,3461,3,1,5,1,1,1,1,0,0.1,10,1,0.10,0.31,QUERkell
17,Quercus',26,Quercus_lobata',Valley_oak',600,305,30,0.30,1.000,0.58,0.15,0.316,2263,3878,5493,4,1,3,1,1,1,1,0,0.01,10,1,0.10,0.31,QUERloba
17,Quercus',27,Quercus_wislizeni',Interior_live_oak',300,91,24,0.50,3.000,0.68,0.15,0.5,1630,2546,3461,3,1,5,1,1,1,1,1,0.01,10,1,0.10,0.31,QUERwisl
17,Quercus',28,Quercus_gambelii',Gambel_oak',200,46,12,0.46,3.000,0.55,0.15,0.316,1323,2546,3769,3,1,5,1,1,1,1,0,0.1,10,1,0.10,0.31,QUERgamb
17,Quercus',29,Quercus_arizonica',Arizona_white_oak',400,61,18,0.55,3.000,0.64,0.15,0.5,2030,3161,4291,3,1,5,1,1,1,1,1,0.01,10,1,0.10,0.31,QUERariz
17,Quercus',30,Quercus_emoryi',Emory_oak',300,91,18,0.37,3.000,0.65,0.15,0.5,2263,3161,4060,3,1,5,1,1,1,1,1,0.01,10,1,0.10,0.31,QUERemor
17,Quercus',31,Quercus_laevis',Turkey_oak',200,61,18,0.55,3.000,0.60,0.15,0.316,3052,4558,6064,5,1,6,1,1,1,1,0,0.01,10,1,0.10,0.31,QUERlaev
17,Quercus',32,Quercus_montana',Chestnut_oak',267,183,30,0.31,3.000,0.57,0.15,0.316,2030,3161,4291,2,1,5,1,1,1,1,0,0.1,10,1,0.10,0.31,QUERmont
17,Quercus',33,Quercus_oglethorpensis',Oglethorpe_oak',200,61,18,0.55,3.000,0.55,0.15,0.316,3052,4558,6064,3,3,3,2,1,1,1,0,0.01,1,1,0.10,0.31,QUERogle
18,Robinia',1,Robinia_pseudoacacia',Black_locust',200,153,31,0.57,1.358,0.66,0.15,0.316,3052,3563,4074,5,2,6,3,5,5,3,0,0.01,1,1,0.56,0.78,ROBIpseu
19,Sassafras',1,Sassafras_albidum',Sassafras',200,61,24,1.10,1.075,0.42,0.15,0.316,2030,4047,6064,5,2,6,1,4,4,3,0,0.01,1,1,0.56,0.78,SASSalbi
20,Tilia',1,Tilia_heterophylla',White_basswood',150,76,24,0.86,1.445,0.32,0.15,0.316,3052,3878,4704,2,6,4,3,5,5,3,0,0.01,1,1,0.31,0.78,TILIhete
20,Tilia',2,Tilia_americana',American_basswood',200,122,37,0.58,3.000,0.32,0.15,0.316,1323,2546,3769,2,4,4,3,5,5,3,0,0.01,1,1,0.31,0.78,TILIamer
20,Tilia',3,Tilia_caroliniana',Carolina_basswood',150,91,30,0.63,3.000,0.32,0.15,0.316,3052,3878,4704,2,4,3,3,5,5,3,0,0.01,1,1,0.31,0.78,TILIcaro
21,Abies',1,Abies_balsamea',Balsam_fir',200,76,25,0.62,3.000,0.34,0.15,0.5,388,1551,2712,1,3,4,2,3,3,1,1,0.01,10,0,0.56,0.78,ABIEbals
21,Abies',2,Abies_fraseri',Fraser_fir',150,51,24,0.89,3.000,0.35,0.15,0.5,388,1200,2012,1,4,5,2,4,3,1,1,0.01,10,0,0.56,0.78,ABIEfras
21,Abies',3,Abies_amabilis',Pacific_silver_fir',400,107,55,1.00,3.000,0.40,0.15,0.5,388,1200,2012,1,4,5,2,4,3,1,1,0.01,10,0,0.56,0.78,ABIEamab
21,Abies',4,Abies_concolor',White_fir',350,152,55,0.71,3.000,0.37,0.15,0.5,828,2030,3233,2,2,5,2,3,3,1,1,0.01,10,0,0.56,0.78,ABIEconc
21,Abies',5,Abies_grandis',Grand_fir',300,152,67,0.86,3.000,0.35,0.15,0.5,388,1551,2712,1,3,5,2,4,3,1,1,0.01,10,0,0.56,0.78,ABIEgran
21,Abies',6,Abies_lasiocarpa',Subalpine_fir',250,76,30,0.75,3.000,0.32,0.15,0.5,388,828,1268,1,3,5,2,3,3,1,1,0.01,10,0,0.56,0.78,ABIElasi
21,Abies',7,Abies_magnifica',California_red_fir',500,183,58,0.62,3.000,0.36,0.15,0.5,388,1200,2012,2,2,5,2,3,3,1,1,0.01,10,0,0.56,0.78,ABIEmagn
21,Abies',8,Abies_procera',Noble_fir',400,183,76,0.82,3.000,0.37,0.15,0.5,388,1200,2012,2,3,5,2,3,3,1,1,0.01,10,0,0.56,0.78,ABIEproc
21,Abies',9,Abies_shastensis',Shasta_red_fir',450,152,55,0.71,3.000,0.36,0.15,0.5,388,1200,2012,2,2,5,2,3,3,1,1,0.01,10,0,0.56,0.78,ABIEshas
22,Chamaecyparis',1,Chamaecyparis_thyoides',Atlantic_white_cedar',300,46,25,1.03,3.000,0.31,0.15,0.5,2030,3563,5096,2,3,1,1,2,3,2,1,0.01,10,1,0.56,0.78,CHAMthyo
22,Chamaecyparis',2,Chamaecyparis_lawsoniana',Port_Orford_cedar',500,183,61,0.65,3.000,0.39,0.15,0.5,388,1551,2712,2,3,4,2,4,3,1,1,0.01,10,0,0.56,0.78,CHAMlaws
22,Chamaecyparis',3,Chamaecyparis_nootkatensis',Alaska_yellow_cedar',1000,183,46,0.49,3.000,0.44,0.15,0.5,388,828,1268,2,3,4,1,4,3,1,1,0.01,10,0,0.56,0.78,CHAMnoot
23,Larix',1,Larix_laricina',Tamarack',200,61,24,0.74,3.000,0.49,0.15,0.5,388,1200,2012,5,3,1,1,3,3,2,1,0.1,10,0,0.56,0.78,LARIlari
23,Larix',2,Larix_occidentalis',Western_larch',700,152,55,0.71,3.000,0.48,0.15,0.5,388,1200,2012,5,2,5,1,1,1,1,1,0.01,10,0,0.56,0.93,LARIocci
23,Larix',3,Larix_lyallii',Subalpine_larch',700,91,24,0.50,3.000,0.47,0.15,0.5,388,828,1268,5,2,5,1,2,2,1,1,0.01,1,0,0.56,0.93,LARIlyal
24,Picea',1,Picea_glauca',White_spruce',300,61,25,0.77,3.000,0.37,0.15,0.5,388,1551,2712,2,3,4,2,3,3,1,1,0.01,10,0,0.56,0.78,PICEglau
24,Picea',2,Picea_mariana',Black_spruce',250,38,20,0.98,3.000,0.41,0.15,0.5,388,1200,2012,2,3,2,1,2,3,1,1,0.01,10,0,0.56,0.78,PICEmari
